名字,类别,实缴资本,注册资本
山姆（上海）投资有限公司,超市商贸,,3000万美元
中国石化销售股份有限公司上海易捷分公司,超市商贸,,
上海新丽莲实业集团有限公司,超市商贸,0,5000万人民币
上海天时荟农业科技有限公司,超市商贸,0,500万人民币
上海氿鑫超市有限公司,超市商贸,0,100万人民币
上海宜诺净生物技术有限公司,超市商贸,,2000万人民币
上海跃莲超市管理有限公司,超市商贸,,50万人民币
上海千呈贸易有限公司,超市商贸,,588.2353万人民币
上海谊品闵科技有限公司,超市商贸,0,10万人民币
上海巧厨网络科技有限公司,超市商贸,,500万人民币
上海鑫海贸易经营部,超市商贸,0,3万人民币
上海鑫亓贸易商行,超市商贸,0,300万人民币
杭州易得米网络科技有限公司,超市商贸,0,50万人民币
上海宜麦芬坊餐饮管理有限公司,超市商贸,,100万人民币
山东优形食品科技有限公司上海分公司,超市商贸,,
上海伊禾商贸有限公司,超市商贸,,100万人民币
上海毓顶贸易有限公司,超市商贸,0,20万人民币
上海兴轩实业有限公司第一分公司,超市商贸,,
上海鸣凯酒店用品有限公司,超市商贸,0,30万人民币
上海励唐贸易发展有限公司,超市商贸,0,500万人民币
上海山海茶点餐饮管理有限公司,超市商贸,0,200万人民币
千红餐饮管理（深圳）有限公司上海瑞虹路分公司,超市商贸,,
上海骄果食品有限公司,超市商贸,0,1000万人民币
福德速（上海）企业发展有限公司,超市商贸,,10000万人民币
上海鲸孚科技有限公司,超市商贸,0,1000万人民币
上海恒泽企业发展有限公司,超市商贸,,10000万人民币
长沙三顿半咖啡有限公司上海分公司,超市商贸,,
上海糖嘉食品有限公司,超市商贸,0,200万人民币
天天果园,电商平台,0,6000万美元
上海一钎一宸科技有限公司（橙团Orange）,电商平台,,100万人民币
上海聚咖文化传媒有限公司,电商平台,0,300万人民币
上海祉味生鲜食品有限公司,电商平台,,100万人民币
奥丁（上海）商业管理有限公司,电商平台,0,600万人民币
上海沪昭农特产有限公司,电商平台,,300万人民币
上海悠乐汇企业管理咨询有限公司,电商平台,0,401.1765万人民币
上海静捷蔬菜专业合作社,主副食品,,600万人民币
上海城市蔬菜产销专业合作社,主副食品,,127万人民币
上海百蒂凯蔬果种植专业合作社,主副食品,,500万人民币
上海绿望蔬果产销专业合作社,主副食品,,500万人民币
上海嘉定维高蔬果专业合作社,主副食品,,1000万人民币
上海宝山金蓝子新洁蔬果专业合作社,主副食品,,118万人民币
上海聚源果蔬专业合作社,主副食品,0,20万人民币
上海浦远蔬菜园艺专业合作社,主副食品,,100万人民币
上海松丰蔬果专业合作社,主副食品,,100万人民币
上海联中食用菌专业合作社,主副食品,,3788万人民币
上海阿林果业专业合作社,主副食品,,2000万人民币
上海录海蔬菜专业合作社,主副食品,,100万人民币
上海春昌蔬果专业合作社,主副食品,,200万人民币
上海享农果蔬专业合作社,主副食品,,500万人民币
上海日鑫农业种植专业合作社,主副食品,,300万人民币
上海王波果园专业合作社,主副食品,,500万人民币
上海又一村农贸市场经营管理有限公司,主副食品,,
华润五丰米业（中国）有限公司上海分公司,主副食品,,
上海敞耀农业科技有限公司,主副食品,0,500万人民币
上海大眼餐饮管理（集团）有限公司,主副食品,-,130万人民币
上海胜辛集贸市场,主副食品,,
上海爱格优品生态农业集团有限公司,主副食品,0,1000万人民币
上海大庄园肉类有限公司,主副食品,0,3000万人民币
上海军安特种蛋鸡场  ,主副食品,,
上海邮辉鸭文化科技有限公司,主副食品,0,100万人民币
上海沪恩膳餐饮管理有限公司,餐饮企业,,5000万人民币
上海金稻餐饮有限公司,餐饮企业,,2000万人民币
